city,lat,lng
阿坝州,31.90576285833887,102.22856468921427
安康,32.70437044999437,109.03804456347515
阿克苏地区,41.171730901451795,80.2698461793294
阿里地区,30.404556588325356,81.10766868948997
阿拉善盟,38.84307526440767,105.69568287112703
阿勒泰地区,47.83974448619752,88.13791548713202
安庆,30.537897817381097,117.0587387721073
安顺,26.228594577737493,105.92826996575766
鞍山,41.118743682153465,123.0077633288837
克孜勒苏州,38.66080913371487,76.47212336295175
安阳,36.1102667221811,114.35180650767198
蚌埠,32.92949890669797,117.35707986587582
白城,45.621086275218886,122.84077667910014
北海,21.472718235009687,109.12262791919323
宝鸡,34.36408080974784,107.17064545238307
北京,39.92998577808024,116.39564503787867
毕节,27.408562131330886,105.33332337116845
博州,27.670980535173662,104.74976190683418
白山,41.94585939701795,126.43579767534614
百色,23.901512367910115,106.63182140365117
保山,25.120489196190352,99.17799561327821
包头,40.64711942570857,109.84623853249181
本溪,41.32583762664885,123.77806236979248
巴彦淖尔,40.76917990242912,107.42380671968002
白银,36.501821828710106,104.20564932849953
巴中,31.869189159159983,106.75791584175442
滨州,37.405313941825895,117.96829241452845
亳州,33.87121056530193,115.78792824511814
昌都,30.51092480115795,96.36244047291781
常德,29.012148855180815,111.65371813684197
赤峰,42.297112320317325,118.9307611921676
昌吉州,44.17508344789088,87.07361805322499
五家渠,44.368899479017536,87.56544898018092
常熟,31.669446047798115,120.8314859651577
楚雄州,24.880252472650806,101.3286379991764
朝阳,39.95895316640668,116.52169489108084
长治,36.20166438574343,113.12029208572514
潮州,23.661811676516503,116.63007599086392
郴州,25.782263975738925,113.03770446779562
池州,30.660019248160626,117.49447677159357
崇左,22.415455296546437,107.35732203836824
滁州,32.31735059538377,118.32457035097686
丹东,40.1290228266375,124.33854311476908
德宏州,24.441239663007963,98.58943428740686
大理州,25.693966622473024,100.21920895421849
大庆,46.596709020007594,125.02183973021087
大同,46.07005100166291,124.6990773926766
定西,35.586056241828416,104.62663760066474
大兴安岭地区,51.9917889680144,124.19610419017351
德阳,31.131139652701417,104.40239781824484
东营,37.408666288041196,118.61264305187912
黔南州,26.26453599744225,107.52320511005807
达州,31.214198858944734,107.49497344658866
德州,37.46082592630501,116.32816136356094
鄂尔多斯,39.81648956060153,109.99370625145134
恩施州,30.30897851129638,109.517432662322
鄂州,30.384439322752247,114.89559404135665
防城港,21.61739847047181,108.35179115286083
抚顺,41.8773038295909,123.92981976705381
阜新,42.01925010706022,121.66082212856833
阜阳,32.90121133056961,115.82093225904637
富阳,29.97780841975727,119.81096609175917
抚州,27.954545170269935,116.36091886693136
广安,30.59924998719945,106.75891196362113
贵港,23.10337316440881,109.61370755657885
桂林,25.262901245955238,110.26092014748276
果洛州,34.48048458460962,100.22372276899289
甘南州,34.99221117837858,102.9174424864958
固原,36.02152348070926,106.28526799598252
广元,32.441040158428244,105.81968693999652
甘孜州,30.055144114355528,101.96923206306379
赣州,25.84529553634676,114.9359090792838
海北州,36.96065410108381,100.8798021744774
鹤壁,35.75542587422399,114.29776983802476
淮北,33.96002330536412,116.79144742863005
河池,24.699520782873197,108.06994770936778
海东地区,36.51761016768607,102.08520698745453
鹤岗,47.33866590372683,130.29247205063453
黄冈,30.446108937901133,114.9066180465751
黑河,50.250690090738274,127.50083029523519
红河州,23.367717516498995,103.3840647571592
怀化,27.557482901172786,109.9869587958539
呼伦贝尔,49.201636054604336,119.76082179399947
葫芦岛,40.743029881317504,120.86075764475588
哈密地区,42.8585963324445,93.52835509281725
海门,31.956038868177135,121.31247014367143
海南州,39.29620947939178,106.92539717866242
淮南,32.64281182374795,117.01863886329463
黄南州,35.52250314367633,102.02183234220054
黄山,30.277745895120198,118.07754612726298
黄石,30.21612712771406,115.05068316392396
和田地区,37.11677449267836,79.93023863721294
海西州,37.373799070589904,97.34262541533312
河源,23.757250850469006,114.71372147587483
衡阳,26.89816441535812,112.58381881071617
汉中,33.08156897815767,107.04547762872542
菏泽,35.26244049607468,115.46335977452752
贺州,24.41105354711281,111.5525941788367
吉安,27.113847650157084,114.99203871092017
金昌,38.51607179953174,102.20812626259014
晋城,35.49983446722556,112.86733275750684
景德镇,29.303562768448288,117.18652262527252
西双版纳州,22.00943300223615,100.80303827521057
九江,29.71963952612237,115.99984802155373
吉林,43.87198833435933,126.56454398883335
即墨,36.48790860159858,120.52110561990881
荆门,31.04261120294864,112.21733029896677
佳木斯,46.813779604740354,130.28473458595482
济宁,35.40212166433135,116.60079762482256
胶南,35.852858378346085,119.85631005027705
酒泉,39.74147376815896,98.50841450616744
句容,31.932634957798392,119.2070798034428
湘西州,28.31795079367364,109.74574580039429
金坛,31.728356462124296,119.5341512146935
鸡西,45.32153988655108,130.94176727325066
江阴,31.83742542205119,120.31067896715737
揭阳,23.547999466926136,116.37950085538243
嘉峪关,39.80239732673353,98.281634585257
胶州,36.24803145848278,119.95942122689219
焦作,35.234607554985935,113.21183588499157
锦州,41.13087887591732,121.14774873823639
晋中,37.69336152679759,112.73851439991773
荆州,30.396103360852894,112.09985718064648
库尔勒,41.705499905673676,85.70941760173511
开封,34.80185417583674,114.35164211776365
黔东南州,24.075274487677827,110.1764085676409
克拉玛依,45.20391924603892,84.92698963494786
喀什地区,39.47062718874562,75.99297326749168
昆山,31.32893679549736,120.96580778410554
临安,30.19589935964445,119.36487228851084
六安,31.75555835519844,116.50525268298414
来宾,23.741165926514817,109.23181650474223
聊城,36.455828514727976,115.98686913929107
临沧,23.887806103773013,100.09261291372643
娄底,27.741073302349072,111.99639635657
临汾,36.09974544358536,111.53878759640808
漯河,33.57627868848315,114.04606140022909
丽江,26.875351089481363,100.22962839887937
吕梁,37.52731609696258,111.14315660234801
陇南,33.39447997293795,104.9345734057548
六盘水,26.59186606031868,104.85208676006856
乐山,29.600957611095073,103.76082423877176
凉山州,27.89239290366571,102.25959080320287
莱芜,36.23365413364694,117.68466691247161
莱西,36.863636936232474,120.442831050639
临夏州,35.585834814564286,103.20057576109534
溧阳,31.42524193101212,119.38283894830988
辽阳,41.27333926556943,123.17245120514733
辽源,42.923302619053665,125.13368605218399
临沂,35.07240907439113,118.34076823661057
龙岩,25.07868543351518,117.01799673877318
洛阳,34.65736781765111,112.44752476895121
莱州,37.19040137439831,120.001343529444
林芝,29.12808019780241,95.46623424668277
柳州,24.329053352467223,109.42240181015114
泸州,28.895929803860103,105.44397028920636
马鞍山,31.688528158880025,118.515881846623
牡丹江,44.58852115278252,129.608035395637
茂名,21.66822571882161,110.93124533067585
眉山,30.06111507994454,103.84142956286796
绵阳,31.50470125806144,104.70551897529307
梅州,24.30457060603053,116.12640309836864
南充,30.800965168237234,106.10555398379239
宁德,26.656527419158913,119.54208214971854
内江,29.599461534774647,105.07305599171474
怒江州,25.860676978165355,98.85993204248207
南平,26.643626474197838,118.18188294866125
那曲地区,31.480679830119627,92.06701836885875
南阳,33.0114195691165,112.5428419005123
平度,36.78855004713476,119.95106201677129
平顶山,33.74530145652439,113.30084897797529
普洱,22.78877778014943,100.98005773013449
盘锦,41.14124802295616,122.07322781023007
蓬莱,37.66116041083425,120.86269428183942
平凉,35.550110190016646,106.68891115654719
莆田,25.448450136734262,119.07773096395962
萍乡,27.639544222952306,113.85991703300718
